start_stn,r_weekday.1,r_weekday.2,r_weekday.3,r_weekday.4,r_weekday.5,r_weekday.6,r_weekday.7
414,0.160092213,0.161533043,0.153208248,0.155289447,0.160060195,0.111680328,0.098136527
415,0.169899416,0.177916811,0.164590059,0.167925082,0.172100531,0.080694218,0.066873883
416,0.161974815,0.157040804,0.155951084,0.158645114,0.155103523,0.114904952,0.096379707
417,0.15938806,0.164832637,0.16489015,0.162953874,0.162148691,0.098251601,0.087534987
418,0.121842584,0.119534175,0.124802083,0.116737448,0.123825449,0.192870566,0.200387694
419,0.133728301,0.131631558,0.129132534,0.125487615,0.135910376,0.183050517,0.161059099
420,0.110258446,0.100879127,0.103201905,0.098644556,0.113169269,0.227926259,0.245920438
421,0.156697547,0.156589686,0.150777196,0.145779653,0.150154001,0.123488453,0.116513465
422,0.103404579,0.110247529,0.119624905,0.100701191,0.115485343,0.245754837,0.204781617
424,0.146438182,0.149270642,0.136949441,0.14303923,0.155218808,0.136382949,0.132700751
425,0.184391201,0.183270282,0.177665686,0.175423848,0.177805801,0.055905843,0.045537341
426,0.15920398,0.161415146,0.149727553,0.144436547,0.154307826,0.124220169,0.106688778
427,0.144302139,0.152306797,0.148450007,0.149468782,0.147576772,0.135715325,0.122180178
428,0.17348737,0.179949089,0.153906403,0.152731545,0.175249657,0.09575093,0.068925005
429,0.148343735,0.152664426,0.137782045,0.138262122,0.142102736,0.151704273,0.129140663
430,0.157688723,0.155079217,0.14277726,0.150792171,0.163466915,0.122646785,0.107548928
431,0.155747388,0.153839164,0.144979555,0.14538846,0.14970468,0.13920945,0.111131304
432,0.085220689,0.179816707,0.149478563,0.144316865,0.154218898,0.150321289,0.136626988
433,0.15289794,0.161626215,0.143174336,0.148763494,0.161855907,0.124339637,0.10734247
434,0.1608,0.1364,0.1148,0.1388,0.1468,0.1572,0.1452
435,0.168106834,0.153705158,0.147420791,0.157632888,0.148468185,0.127520293,0.09714585
436,0.158206872,0.157858015,0.131519274,0.146694575,0.146345718,0.142333857,0.117041688
